Address,Country,Flipped_Lat,Flipped_Lng,ISO2,ISO3,Index,Latitude,Location,Longitude,Poly_Ctry,Poly_ISO2,Poly_ISO3,Recorded_Lat,Recorded_Lng,Region,Type,geometry,ver_Index
"Mieso, Ethiopia",Ethiopia,9.33,41.18,ET,ETH,291,9.33,Mieso,41.18,Ethiopia,ET,ETH,9.33,41.18,Eastern and Southern Africa,Original,POINT (41.18 9.33),
"Kokate, Ethiopia",Ethiopia,10.785300254800001,38.0278015137,ET,ETH,288,10.785300254800001,Kokate,38.0278015137,Ethiopia,ET,ETH,10.785300254800001,38.0278015137,Eastern and Southern Africa,Original,POINT (38.0278015137 10.7853002548),
"Pawe, Ethiopia",Ethiopia,11.23,38.0,ET,ETH,295,11.23,Pawe,38.0,Ethiopia,ET,ETH,11.23,38.0,Eastern and Southern Africa,Original,POINT (38 11.23),
"Adet, Ethiopia",Ethiopia,11.27,37.48,ET,ETH,276,11.27,Adet,37.48,Ethiopia,ET,ETH,11.27,37.48,Eastern and Southern Africa,Original,POINT (37.48 11.27),
"Pokuase, Ghana",Ghana,5.683333,-0.283333,GH,GHA,308,5.683333,Pokuase,-0.283333,Ghana,GH,GHA,5.683333,-0.283333,Western Africa,Original,POINT (-0.283333 5.683333),
"Fumesua, Ghana",Ghana,6.75,-1.583333,GH,GHA,305,6.75,Fumesua,-1.583333,Ghana,GH,GHA,6.75,-1.583333,Western Africa,Original,POINT (-1.583333 6.75),
"Kwadaso, Ghana",Ghana,6.75,-1.58,GH,GHA,306,6.75,Kwadaso,-1.58,Ghana,GH,GHA,6.75,-1.58,Western Africa,Original,POINT (-1.58 6.75),
"Ejura, Ghana",Ghana,7.383333,-1.366666,GH,GHA,304,7.383333,Ejura,-1.366666,Ghana,GH,GHA,7.383333,-1.366666,Western Africa,Original,POINT (-1.366666 7.383333),
"Damongo, Ghana",Ghana,9.066666,-1.816666,GH,GHA,303,9.066666,Damongo,-1.816666,Ghana,GH,GHA,9.066666,-1.816666,Western Africa,Original,POINT (-1.816666 9.066666),
"Nyankpala, Ghana",Ghana,9.42,-0.97,GH,GHA,307,9.42,Nyankpala,-0.97,Ghana,GH,GHA,9.42,-0.97,Western Africa,Original,POINT (-0.97 9.42),
"Thessaloniki, Greece",Greece,40.55,23.0,GR,GRC,310,40.55,Thessaloniki,23.0,Greece,GR,GRC,40.55,23.0,North Africa and Near East,Original,POINT (23 40.55),
"Jutiapa, Guatemala",Guatemala,14.25,-89.92,GT,GTM,321,14.25,Jutiapa,-89.92,Guatemala,GT,GTM,14.25,-89.92,Central America and Caribbean,Original,POINT (-89.92 14.25),
"Cuyuta, Guatemala",Guatemala,14.25,-90.0,GT,GTM,315,14.25,Cuyuta,-90.0,Guatemala,GT,GTM,14.25,-90.0,Central America and Caribbean,Original,POINT (-90 14.25),
"Tequinzate, Guatemala",Guatemala,14.27,-91.35,GT,GTM,338,14.27,Tequinzate,-91.35,Guatemala,GT,GTM,14.27,-91.35,Central America and Caribbean,Original,POINT (-91.34999999999999 14.27),307.0
"Barcenas, Villa Nuev, Guatemala",Guatemala,14.5467,-90.62283000000001,GT,GTM,312,14.5467,"Barcenas, Villa Nuev",-90.62283000000001,Guatemala,GT,GTM,14.5467,-90.62283000000001,Central America and Caribbe,Original,POINT (-90.62283000000001 14.5467),
"Las Vegas, Guatemala",Guatemala,14.58358,-90.59326,GT,GTM,328,14.58358,Las Vegas,-90.59326,Guatemala,GT,GTM,14.58358,-90.59326,Central America and Caribbe,Original,POINT (-90.59326 14.58358),
"Chimaltenango, Guatemala",Guatemala,14.67,-90.8,GT,GTM,314,14.67,Chimaltenango,-90.8,Guatemala,GT,GTM,14.67,-90.8,Central America and Caribbean,Original,POINT (-90.8 14.67),
"Levy-cayes, Haiti",Haiti,18.2,-73.75,HT,HTI,344,18.2,Levy-cayes,-73.75,Haiti,HT,HTI,18.2,-73.75,Central America and Caribbean,Original,POINT (-73.75 18.2),
"Cayes, Haiti",Haiti,18.27,-73.78,HT,HTI,340,18.27,Cayes,-73.78,Haiti,HT,HTI,18.27,-73.78,Central America and Caribbean,Original,POINT (-73.78 18.27),
"Damien Farm., Haiti",Haiti,19.3,-72.25,HT,HTI,342,19.3,Damien Farm.,-72.25,Haiti,HT,HTI,19.3,-72.25,Central America and Caribbean,Original,POINT (-72.25 19.3),
"Danli, Honduras",Honduras,14.03,-86.5,HN,HND,350,14.03,Danli,-86.5,Honduras,HN,HND,14.03,-86.5,Central America and Caribbean,Original,POINT (-86.5 14.03),
"La Esperanza, Honduras",Honduras,14.25,-88.2,HN,HND,355,14.25,La Esperanza,-88.2,Honduras,HN,HND,14.25,-88.2,Central America and Caribbean,Original,POINT (-88.2 14.25),
"Omonita, Honduras",Honduras,14.4,-87.67,HN,HND,361,14.4,Omonita,-87.67,Honduras,HN,HND,14.4,-87.67,Central America and Caribbean,Original,POINT (-87.67 14.4),
"Comayagua, Honduras",Honduras,14.5,-87.65,HN,HND,348,14.5,Comayagua,-87.65,Honduras,HN,HND,14.5,-87.65,Central America and Caribbean,Original,POINT (-87.65000000000001 14.5),
"Las Acacias, Honduras",Honduras,14.55,-86.43,HN,HND,356,14.55,Las Acacias,-86.43,Honduras,HN,HND,14.55,-86.43,Central America and Caribbean,Original,POINT (-86.43000000000001 14.55),
"Higuero Qumado, Yori, Honduras",Honduras,15.07,-87.33,HN,HND,353,15.07,"Higuero Qumado, Yori",-87.33,Honduras,HN,HND,15.07,-87.33,Central America and Caribbean,Original,POINT (-87.33 15.07),
"Santa Cruz, Yorito,y, Honduras",Honduras,15.07,-87.23,HN,HND,368,15.07,"Santa Cruz, Yorito,y",-87.23,Honduras,HN,HND,15.07,-87.23,Central America and Caribbean,Original,POINT (-87.23 15.07),
"Coimbatore, India",India,11.0,77.0,IN,IND,388,11.0,Coimbatore,77.0,India,IN,IND,11.0,77.0,Asia,Original,POINT (77 11),
"Bangalore, India",India,12.97,77.58,IN,IND,382,12.97,Bangalore,77.58,India,IN,IND,12.97,77.58,Asia,Original,POINT (77.58 12.97),343.0
"Karnataka, India",India,14.0,76.0,IN,IND,406,14.0,Karnataka,76.0,India,IN,IND,14.0,76.0,Asia,Original,POINT (76 14),
"Adoni Mandal, India",India,15.63,77.27,IN,IND,371,15.63,Adoni Mandal,77.27,India,IN,IND,15.63,77.27,Asia,Original,POINT (77.27 15.63),
"Arabhavi, India",India,16.2,74.9,IN,IND,375,16.2,Arabhavi,74.9,India,IN,IND,16.2,74.9,Asia,Original,POINT (74.90000000000001 16.2),
"Kolhapur, India",India,16.72,74.23,IN,IND,409,16.72,Kolhapur,74.23,India,IN,IND,16.72,74.23,Asia,Original,POINT (74.23 16.72),
"Hyderabad, India",India,17.33,78.5,IN,IND,397,17.33,Hyderabad,78.5,India,IN,IND,17.33,78.5,Asia,Original,POINT (78.5 17.33),
"Medchal, India",India,17.68,78.45,IN,IND,411,17.68,Medchal,78.45,India,IN,IND,17.68,78.45,Asia,Original,POINT (78.45 17.68),
"Pune, India",India,18.57,73.97,IN,IND,423,18.57,Pune,73.97,India,IN,IND,18.57,73.97,Asia,Original,POINT (73.97 18.57),
"P.r Pally, India",India,18.98,77.92,IN,IND,415,18.98,P.r Pally,77.92,India,IN,IND,18.98,77.92,Asia,Original,POINT (77.92 18.98),
"Jalna, India",India,19.85,75.88,IN,IND,400,19.85,Jalna,75.88,India,IN,IND,19.85,75.88,Asia,Original,POINT (75.88 19.85),
"Issarwadi, India",India,19.87,75.37,IN,IND,399,19.87,Issarwadi,75.37,India,IN,IND,19.87,75.37,Asia,Original,POINT (75.37 19.87),
"Raipur, India",India,21.2336,81.63,IN,IND,427,21.2336,Raipur,81.63,India,IN,IND,21.2336,81.63,Asia,Original,POINT (81.63 21.2336),
"Jashipur, India",India,21.28,85.68,IN,IND,401,21.28,Jashipur,85.68,India,IN,IND,21.28,85.68,Asia,Original,POINT (85.68000000000001 21.28),
"Godhra, India",India,22.75,73.67,IN,IND,395,22.75,Godhra,73.67,India,IN,IND,22.75,73.67,Asia,Original,POINT (73.67 22.75),
"Chhindwara, India",India,22.82,79.4,IN,IND,387,22.82,Chhindwara,79.4,India,IN,IND,22.82,79.4,Asia,Original,POINT (79.40000000000001 22.82),
"Banswara, India",India,23.55,74.45,IN,IND,383,23.55,Banswara,74.45,India,IN,IND,23.55,74.45,Asia,Original,POINT (74.45 23.55),
"Udaipur, India",India,24.58,73.68,IN,IND,435,24.58,Udaipur,73.68,India,IN,IND,24.58,73.68,Asia,Original,POINT (73.68000000000001 24.58),
"Aurangabad, India",India,24.73935,84.33655,IN,IND,377,24.73935,Aurangabad,84.33655,India,IN,IND,24.73935,84.33655,Asia,Original,POINT (84.33655 24.73935),
"Varanasi, India",India,25.3,83.05,IN,IND,437,25.3,Varanasi,83.05,India,IN,IND,25.3,83.05,Asia,Original,POINT (83.05 25.3),
