Index,Address,Country,Country_Code,Latitude,Location,Longitude,Recorded_Lat,Recorded_Lng,Region,Type,ver_Index
156,"Montería, Córdoba, Colombia",Colombia,COL,8.83,Monteria,-57.78,8.7558921,-75.887029,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
157,"Neiva, Huila, Colombia",Colombia,COL,0.0,"Neiva, Huila",0.0,3.0332673000000003,-75.27944239597832,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
158,"MOLINA, Valle del Cauca, Colombia",Colombia,COL,0.0,"Obando, Molina",0.0,4.6220602,-76.0282284,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
159,"Palmira, Colombia",Colombia,COL,4.27,Palmira,-76.32,4.27,-76.32,South America,correct location data,
160,"Armenia, Quindío, Colombia",Colombia,COL,0.0,"Paraguaicito, Armenia",0.0,4.4923898,-75.73960166465673,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
161,"Aguachica, Cesar, Colombia",Colombia,COL,0.0,Pelaya-cesar (aguachica),0.0,8.24811845,-73.62140380560058,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
162,"Pereira, 660002, Risaralda, Colombia",Colombia,COL,0.0,Pereira,0.0,4.8142912,-75.6946451,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
163,"Piendamó, Cauca, Colombia",Colombia,COL,0.0,Piendamo,0.0,2.735773,-76.5534967167817,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
164,"Colombia, Colombia",Colombia,COL,0.0,Procampo,0.0,2.8894434,-73.783892,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
166,"Puerto Lopez, Córdoba, Colombia",Colombia,COL,0.0,Puerto Lopez,0.0,7.7933241,-75.8401892,South America,no lat/lng entered / incorrect lat/lng - geocoded location,143.0
167,"Montenegro, Quindío, Colombia",Colombia,COL,0.0,"Quindio, Montenegro",0.0,4.5664176,-75.7507081,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
168,"Rivera, Huila, Colombia",Colombia,COL,0.0,"Rivera, Huila",0.0,2.7779482,-75.2582697,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
169,"Roldanillo, Valle del Cauca, Colombia",Colombia,COL,0.0,Roldanillo,0.0,4.4440112,-76.16639092634387,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
170,"Sabana de Torres, Santander, Colombia",Colombia,COL,0.0,"Sabana De Torres, Santander",0.0,7.3939416,-73.4998859,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
171,"Loma Grande, Córdoba, Colombia",Colombia,COL,0.0,Sahagu,0.0,8.9103343,-75.4817766,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
172,"San Antonio, Córdoba, Colombia",Colombia,COL,0.0,San Antonio,0.0,7.7017427,-75.6206362,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
173,"Archipiélago de San Andrés, Providencia y Santa Catalina (Colombia), Colombia",Colombia,COL,0.0,San Barreto,0.0,12.38051665,-81.6140750764522,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
174,"Sandoná, Nariño, Colombia",Colombia,COL,0.0,"San Francisco, Sandona",0.0,1.2991853500000001,-77.47593481408893,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
175,"San Ignacio, Meta, Colombia",Colombia,COL,0.0,"San Ignacio, Granada",0.0,3.5209285,-74.0519891,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
176,"San Pedro de Urabá, 054, Antioquia, Colombia",Colombia,COL,0.0,San Pedro De Uraba,0.0,8.33372075,-76.34080137233052,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
177,"San Pelayo, Córdoba, Colombia",Colombia,COL,0.0,San Pelayo,0.0,8.9572178,-75.8374769,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
178,"San Rafael, Nariño, Colombia",Colombia,COL,0.0,"San Rafael, Consaca",0.0,1.1638005,-77.4519397,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
179,"Sandoná, Nariño, Colombia",Colombia,COL,0.0,"Sandona, Narino, Fidar",0.0,1.2991853500000001,-77.47593481408893,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
180,"Santa Helena, Tolima, Colombia",Colombia,COL,0.0,Santa Helena,0.0,5.1187993,-75.1714513,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
181,"Santa Lucía, Las Andes, Antioquia, Colombia",Colombia,COL,0.0,Santa Lucia,0.0,6.0537421,-75.9961388,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
182,"Santander de Quilichao, Cauca, Colombia",Colombia,COL,0.0,Santander De Quilichao,0.0,2.99828845,-76.51019933487012,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
183,"Segovia, Antioquia, Colombia",Colombia,COL,0.0,Segovia,0.0,7.2775945,-74.62085391976942,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
184,"Colombia, Colombia",Colombia,COL,0.0,Semivalle,0.0,2.8894434,-73.783892,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
185,"Sincelejo, 70001, Sucre, Colombia",Colombia,COL,0.0,Sincelejo,0.0,9.315429349999999,-75.43298059079754,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
186,"Colombia, Colombia",Colombia,COL,0.0,Taluma,0.0,2.8894434,-73.783892,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
187,"Tierra Alta, Córdoba, Colombia",Colombia,COL,0.0,Tierra Alta,0.0,8.3119698,-75.4425907,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
188,"Colombia, Colombia",Colombia,COL,0.0,Tulenapa,0.0,2.8894434,-73.783892,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
189,"Tunja, Boyacá, Colombia",Colombia,COL,0.0,Tunja,0.0,5.5158168,-73.37773195372108,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
193,"Turipana, Colombia",Colombia,COL,8.65,Turipana,-75.97,8.65,-75.97,South America,correct location data,167.0
197,"Valle de Mamancanaca, Magdalena, Colombia",Colombia,COL,0.0,Valle De Magdalena,0.0,10.717347,-73.6220434,South America,no lat/lng entered / incorrect lat/lng - geocoded location,168.0
198,"Valle del Cauca, Colombia",Colombia,COL,0.0,Valle Del Cauca,0.0,4.063969999999999,-76.12337981939545,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
199,"Venecia, Antioquia, Colombia",Colombia,COL,0.0,Venecia,0.0,5.9458914,-75.77586492822118,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
