Index,Type,Location,Country,Latitude,Longitude,Recorded_Lat,Recorded_Lng,Address,Country_Code
91,no lat/lng entered / incorrect lat/lng - geocoded location,Andremoni,Colombia,0.0,0.0,2.8894434,-73.783892,"Colombia, Colombia",COL
92,no lat/lng entered / incorrect lat/lng - geocoded location,Arborates,Colombia,0.0,0.0,2.8894434,-73.783892,"Colombia, Colombia",COL
93,no lat/lng entered / incorrect lat/lng - geocoded location,"Atuncela, Dagua",Colombia,0.0,0.0,3.65186675,-76.72289271511232,"Dagua, Valle del Cauca, Colombia",COL
94,no lat/lng entered / incorrect lat/lng - geocoded location,Bucaramanga,Colombia,0.0,0.0,7.1114611,-73.1172869,"Bucaramanga, Santander, Colombia",COL
95,no lat/lng entered / incorrect lat/lng - geocoded location,"Bucaramanga, Pinchote",Colombia,0.0,0.0,7.1114611,-73.1172869,"Bucaramanga, Santander, Colombia",COL
96,correct location data,Buga,Colombia,3.88,-76.28,3.88,-76.28,"Buga, Colombia",COL
97,no lat/lng entered / incorrect lat/lng - geocoded location,"Buga, Media Canoa",Colombia,0.0,0.0,3.8916716,-76.3418933,"Vía Mediacanoa - Buga, 763042, Buga, Valle del Cauca, Colombia",COL
98,no lat/lng entered / incorrect lat/lng - geocoded location,Caicedonia,Colombia,0.0,0.0,4.3080642000000005,-75.83980499303324,"Caicedonia, Valle del Cauca, Colombia",COL
99,no lat/lng entered / incorrect lat/lng - geocoded location,Caldono,Colombia,0.0,0.0,2.796326,-76.4836526,"Caldono, Cauca, Colombia",COL
100,correct location data,Cali,Colombia,3.5,-76.37,3.5,-76.37,"Cali, Colombia",COL
101,no lat/lng entered / incorrect lat/lng - geocoded location,"Campo Alegre, Huila",Colombia,0.0,0.0,2.663056,-75.34,"Campo Alegre Airport, Huila, Colombia",COL
102,no lat/lng entered / incorrect lat/lng - geocoded location,Ca╤a Flecha,Colombia,0.0,0.0,8.7241403,-75.6877463,"Arroyo Negro, Caserío Flecha, Córdoba, Colombia",COL
