,index,location,found_lat,found_lng,matched_location
111,192,"('Turipana (3)', 'Colombia')",2.9405994,-75.25635620782482,"Turipaná, Comuna Oriente, Huila, Colombia"
112,193,"('Turipana (4)', 'Colombia')",2.9402105,-75.2568126,"Carrera 43B, Comuna Oriente, Huila, Colombia"
113,194,"('Valle De Magdalena', 'Colombia')",10.717347,-73.6220434,"Valle de Mamancanaca, Magdalena, Colombia"
114,195,"('Valle De Magdalena (2)', 'Colombia')",10.717347,-73.6220434,"Valle de Mamancanaca, Magdalena, Colombia"
115,196,"('Valle De Magdalena (3)', 'Colombia')",10.717347,-73.6220434,"Valle de Mamancanaca, Magdalena, Colombia"
116,197,"('Valle De Magdalena (4)', 'Colombia')",3.5378217,-76.2976028,"Flota Magdalena S.A., Calle 42, 763531, Calle 42, Palmira, Valle del Cauca, Colombia"
117,198,"('Valle Del Cauca', 'Colombia')",4.063969999999999,-76.12337981939545,"Valle del Cauca, Colombia"
118,199,"('Venecia', 'Colombia')",5.9458914,-75.77586492822118,"Venecia, Antioquia, Colombia"
119,200,"('Villavicencio', 'Colombia')",4.1315113,-73.6206667,"Villavicencio, 500005, Villavicencio, Meta, Colombia"
120,201,"('Villavo', 'Colombia')",4.5066393,-74.1129318,"Salida para Villavo en Yomasa, Autopista al Llano Calle 71 Sur, 110541, Autopista al Llano Calle 71 Sur, Usme, Bogota Capital District, Colombia"
121,202,"('Yotoco-valle Del Cauca', 'Colombia')",3.89766105,-76.387873049896,"Yotoco, Valle del Cauca, Colombia"
122,203,"('Congo', 'Congo')",-0.7264327,15.6419155,"Congo-Brazzaville, Republic of the Congo"
123,205,"('Tshibati', 'Congo')",-0.7264327,15.6419155,"Congo-Brazzaville, Republic of the Congo"
124,229,"('Ecuador', 'Ecuador')",-1.3397668,-79.3666965,"Ecuador, Ecuador"
125,231,"('La Virginia Quevedo', 'Ecuador')",-1.0465244,-79.4895278,"La Virginia, 120305, Los Ríos, Ecuador"
126,232,"('Lodana', 'Ecuador')",-1.1786654,-80.384962,"Lodana, Manabí, Ecuador"
127,234,"('Organos', 'Ecuador')",-1.3397668,-79.3666965,"Ecuador, Ecuador"
128,236,"('Pindal', 'Ecuador')",-4.10051445,-80.13880820830161,"Cantón Pindal, Loja, Ecuador"
129,240,"('Giza', 'Egypt')",30.0170059,31.2134513,"Giza, 12541, Giza Governorate, Egypt"
130,284,"('Haramaya', 'Ethiopia')",9.41467595,42.03515001516861,"Haramaya University, Didimtu, Harari Region, Ethiopia"
131,296,"('Ws', 'Ethiopia')",10.2116702,38.6521203,"Ethiopia, Ethiopia"
132,298,"('Dobuleni Research Station', 'Fiji')",-16.7056525,-179.9082564,"Mua Research Station, West Coast Road, West Coast Road, Matei, Northern, Fiji"
133,299,"('Koronnia Research Station', 'Fiji')",-16.7056525,-179.9082564,"Mua Research Station, West Coast Road, West Coast Road, Matei, Northern, Fiji"
134,300,"('Legalega Research Station', 'Fiji')",-16.7056525,-179.9082564,"Mua Research Station, West Coast Road, West Coast Road, Matei, Northern, Fiji"
135,301,"('Sigatoka Research Station', 'Fiji')",-16.7056525,-179.9082564,"Mua Research Station, West Coast Road, West Coast Road, Matei, Northern, Fiji"
136,302,"('Tserovani', 'Georgia')",41.894183,44.6744183,"Tserovani, Mtskheta-Mtianeti, Georgia"
137,313,"('Caballo Blanco, Retalhuleu', 'Guatemala')",14.485095699999999,-91.65043931764578,"Casa Blanca, Retalhuleu, Guatemala"
138,316,"('El Ovejero, Jutiapa', 'Guatemala')",14.4393269,-89.8680008,"El Ovejero, Jutiapa, Guatemala"
139,317,"('Estanzuela', 'Guatemala')",14.9788616,-89.60987405581477,"Estanzuela, Zacapa, Guatemala"
140,319,"('Guatemala', 'Guatemala')",15.6356088,-89.8988087,"Guatemala, Guatemala"
141,322,"('La Flecha', 'Guatemala')",17.2708286,-90.8744237,"Río San Pedro (Guatemala-México), Petén, Guatemala"
142,323,"('La Maquina', 'Guatemala')",14.30496535,-91.56539103867601,"Parque San José La Máquina, Suchitepéquez, Guatemala"
143,326,"('La Maquina, Tulate', 'Guatemala')",14.2371945,-91.6748598,"Centro 2 La Máquina, Tulate, Retalhuleu, Guatemala"
144,327,"('Las Monjas', 'Guatemala')",14.51342945,-89.8990143228134,"Monjas, Jalapa, Guatemala"
145,329,"('Monjas, Jalapa', 'Guatemala')",14.51342945,-89.8990143228134,"Monjas, Jalapa, Guatemala"
146,330,"('Nueva Concepcion', 'Guatemala')",14.126215349999999,-91.29472825431031,"Nueva Concepción, Escuintla, Guatemala"
147,331,"('Ovejero, Jutiapa', 'Guatemala')",14.4393269,-89.8680008,"El Ovejero, Jutiapa, Guatemala"
148,332,"('Quesada, Jutiapa', 'Guatemala')",14.2853523,-90.03049884223813,"Quesada, Jutiapa, Guatemala"
149,333,"('Salam B. V.', 'Guatemala')",15.0446519,-90.32065034806926,"Salamá, Baja Verapaz, Guatemala"
150,334,"('San Jos╔ Pinula', 'Guatemala')",14.55343475,-90.34585630827843,"San José Pinula, Guatemala, Guatemala"
151,335,"('San Pedro Pinula, Jalapa', 'Guatemala')",14.7148894,-89.83911116760636,"San Pedro Pinula, Jalapa, Guatemala"
152,336,"('Sto Domingo', 'Guatemala')",14.2812826,-91.49676486660707,"Santo Domingo Suchitepéquez, Suchitepéquez, Guatemala"
153,339,"('Zacapa', 'Guatemala')",14.96919145,-89.44919255064195,"Zacapa, Zacapa, Guatemala"
154,341,"('Chantilly', 'Haiti')",19.1399952,-72.3570972,"Haiti, Haiti"
155,346,"('Candelaria, Lempira', 'Honduras')",15.172222600000001,-83.94367098441666,"Puerto Lempira, Gracias a Dios, Honduras"
156,347,"('Catacamas, Olancho', 'Honduras')",14.8484732,-85.894113,"Catacamas, Olancho, Honduras"
157,349,"('Comayagua, E.e. Playitas', 'Honduras')",14.3188383,-87.5135833,"El Coyolito, Comayagua, Comayagua, Honduras"
158,352,"('El Pital, Atlantida', 'Honduras')",14.3846736,-89.1293056,"Cerro El Pital, Nueva Ocotepeque, Ocotepeque, Honduras"
159,354,"('Jutiquile, Olancho', 'Honduras')",14.7432601,-86.0952627,"Jutiquile, Olancho, Honduras"
160,357,"('Litoral Atlantico', 'Honduras')",15.771626399999999,-87.46722434647117,"Escuela Normal Mixta Del Litoral Atlantico, Puerto Arturo, Atlántida, Honduras"
161,358,"('Luquigue Yorito, Yoro', 'Honduras')",15.0654325,-87.2820675,"Yorito, Yoro, Honduras"
162,360,"('Obraje, Danli', 'Honduras')",14.0332817,-86.5686813,"Danli, El Paraíso, Honduras"
163,363,"('Playita', 'Honduras')",13.641861,-87.3636421,"Las Playitas, Choluteca, Honduras"
164,364,"('Potrerillos, Olancho', 'Honduras')",14.5958328,-86.1500015,"Desvio Potrerillos Airport, Juticalpa, Olancho, Honduras"
165,366,"('San Lucas, El Paraiso', 'Honduras')",15.7776096,-87.4810315,"Barrio El Paraiso, Aldea de San Juan, Atlántida, Honduras"
166,367,"('San Pedro De Catacamas, Olancho', 'Honduras')",14.7511235,-86.0574774,"Carretera Hacia Catacamas, Santa Maria del Real, Olancho, Honduras"
167,369,"('Yoro, El Pate', 'Honduras')",15.3067118,-87.6991901,"El Negrito, Yoro, Honduras"
168,370,"('Yoro, Morazan', 'Honduras')",15.3202182,-87.598286,"Morazan, Yoro, Honduras"
169,373,"('Amberpet', 'India')",17.7776835,78.5705066,"Amberpet, Telangana, India"
170,385,"('Belipar, Gorakhpur, U.p.', 'India')",26.7600217,83.3668129,"Gorakhpur, Uttar Pradesh, India"
171,386,"('Bihar', 'India')",25.6440845,85.906508,"Bihar, India"
172,392,"('Dholi (2)', 'India')",28.3513155,76.1198738,"Dholi, 123029, Haryana, India"
173,394,"('Dohad', 'India')",22.3511148,78.6677428,"India, India"
174,396,"('Godhsa Gaujasat', 'India')",22.7785001,73.6245157,"Godhra, 389001, Gujarat, India"
175,398,"('India', 'India')",22.3511148,78.6677428,"India, India"
176,407,"('Khadbrabhra', 'India')",22.3511148,78.6677428,"India, India"
177,408,"('Khedbrahma', 'India')",24.0310797,73.0484074,"Khedbrahma, 383255, Gujarat, India"
178,413,"('Muzafferpur', 'India')",22.3511148,78.6677428,"India, India"
179,414,"('New Delhi', 'India')",28.6141793,77.2022662,"New Delhi, Delhi, India"
180,418,"('Pantnagar (2)', 'India')",29.0264162,79.4859989,"Pantnagar, 263145, Uttarakhand, India"
181,419,"('Parbhani', 'India')",19.262469,76.7718,"Parbhani, 431400, Maharashtra, India"
182,420,"('Poonch', 'India')",25.8241798,79.0444959,"Poonch, Uttar Pradesh, India"
183,421,"('Prabhakar Reddy', 'India')",17.4202917,78.42046362794693,"Kasu Brahmananda Reddy Park, KBR Park Peripheral Jogging Track, 500034, KBR Park Peripheral Jogging Track, Greater Hyderabad Municipal Corporation, Telangana, India"
184,422,"('Probhakor', 'India')",22.3511148,78.6677428,"India, India"
185,424,"('Pusa', 'India')",28.63629965,77.15764441079895,"Pusa, Delhi, India"
186,425,"('R&d (pachora).', 'India')",28.6128924,77.2294312,"India Gate, Rajpath, 020626, Rajpath, New Delhi, Delhi, India"
187,426,"('R&d (wadadhe).', 'India')",28.6128924,77.2294312,"India Gate, Rajpath, 020626, Rajpath, New Delhi, Delhi, India"
188,428,"('Ranchi', 'India')",23.3700354,85.3250132,"Ranchi, 834001, Jharkhand, India"
189,429,"('Rau Pusa (bihar)', 'India')",25.3851063,86.46769912015446,"Bihar School of Yoga, 811201, Munger, Bihar, India"
190,430,"('Rayalkole', 'India')",22.3511148,78.6677428,"India, India"
191,431,"('Samastipur', 'India')",25.75,85.916667,"Samastīpur, Bihar, India"
192,434,"('Srinagar, K.d. Research Station', 'India')",13.69846395,75.2334723654391,"Horticulture Research Station, 577432, Surani, Karnataka, India"
193,441,"('Gowa S. Sulawesi', 'Indonesia')",3.5490959,125.5386701,"Gowa, North Sulawesi, Indonesia"
194,442,"('Hulu Sungai Selatan', 'Indonesia')",-2.4684359,115.213926,"Sungai Pandan Hulu, South Kalimantan, Indonesia"
195,443,"('Jambegede', 'Indonesia')",-4.7993356,114.5632032,"Indonesia, Indonesia"
196,447,"('Naibonat', 'Indonesia')",-4.7993356,114.5632032,"Indonesia, Indonesia"
197,448,"('Natar, Lampung', 'Indonesia')",-5.3188238,105.192809,"Natar, Lampung, Indonesia"
