,COUNT,Country,DAYLENGTH,ELEVATION,ELEV_M,EVAP,ElevM,Flipped_Lat,Flipped_Lng,GRIDCODE,Geocoded_Adr,Geocoded_Lat,Geocoded_Lng,ISO2,ISO3,Irrig_p,LATITUDEdec,LONGITUDEdec,Latitude,LatitudeMin,Location,LocationData,LocationID,LocationIDOld,Longitude,LongitudeMin,MAX_TEMP,MEANTEMP,MEANTEMPRange,MIN_TEMP,MegaEnviron,PRE,Region,SITEID,START,Z_M_RAIN,geometry,grlatitud,grlongitud,latitudNS,longitudEW,minlatitud,minlongitud,oldid
41,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Municipio Mairana, Santa Cruz, Bolivia",-17.89881405,-64.03835736267116,,,0.0,0.0,0.0,0.0,,"MAIRANA, SANTA CRUZ",0.0,58.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1466.0
42,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Municipio Monteagudo, Chuquisaca, Bolivia",-20.00271135,-64.08909541853487,,,0.0,0.0,0.0,0.0,,MONTEAGUDO,0.0,59.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1582.0
43,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Pajonal, Tarija, Bolivia",-21.4852164,-64.1684128,,,0.0,0.0,0.0,0.0,,PAJONAL,0.0,63.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1843.0
44,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Provincia Saavedra, Potosí, Bolivia",-19.25,-65.5,,,0.0,0.0,0.0,0.0,,SAAVEDRA,0.0,64.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1645.0
45,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Municipio San Ignacio, Beni, Bolivia",-15.28290925,-65.61426114395618,,,0.0,0.0,0.0,0.0,,SAN IGNACIO,0.0,65.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1650.0
46,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Municipio Cuatro Cañadas, 3391, Santa Cruz, Bolivia",-17.2762404,-62.174923340622634,,,0.0,0.0,0.0,0.0,,SANTA CRUZ (CUATRO CAMINOS),0.0,67.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2253.0
47,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Santa Cruz de la Sierra, 3212, Santa Cruz, Bolivia",-17.7836009,-63.182206,,,0.0,0.0,0.0,0.0,,SANTA CRUZ DE LA SIERRA,0.0,68.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1666.0
48,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"UAGRM El Vallecito, Avenida Milton Parra P, Avenida Milton Parra P, Municipio Santa Cruz de la Sierra, Santa Cruz, Bolivia",-17.6977599,-63.14502191551192,,,0.0,0.0,0.0,0.0,,SANTA CRUZ DE LA SIERRA (EL VALLECITO),0.0,69.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2257.0
49,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Tarija, 0601, Tarija, Bolivia",-21.5340695,-64.7344181,,,0.0,0.0,0.0,0.0,,TARIJA,0.0,70.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1656.0
50,0.0,BOLIVIA,,0.0,0.0,0.0,0.0,,,0.0,"Valle del Medio, Tarija, Bolivia",-21.6080069,-64.1462676,,,0.0,0.0,0.0,0.0,,VALLE DEL MEDIO,0.0,71.0,,0.0,,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1844.0
